"source_id_a","source_id_b","denominator","timing_window","count_status","distinct_person_count_display","percent_of_denominator_display","validation_status","notes","count_mode","source_tables","person_key_used","date_anchor_used","value_rule_used","generated_at"
"RKKP_LYFO_Beh_Kemoterapiregime1","RKKP_LYFO_Beh_Kemoterapiregime2","all_lyfo_mcl","ever_observed","production_aggregate_count_available","0","0%","production_aggregate_source_overlap_sql","Deduplication diagnostic only; no person keys emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"RKKP_LYFO_Beh_Kemoterapiregime1","RKKP_LYFO_Beh_Kemoterapiregime3","all_lyfo_mcl","ever_observed","production_aggregate_count_available","0","0%","production_aggregate_source_overlap_sql","Deduplication diagnostic only; no person keys emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"RKKP_LYFO_Beh_Kemoterapiregime1","SDS_indberetningmedpris_ATC_L01XE27","all_lyfo_mcl","ever_observed","production_aggregate_count_available","6","0.4%","production_aggregate_source_overlap_sql","Deduplication diagnostic only; no person keys emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"RKKP_LYFO_Beh_Kemoterapiregime2","RKKP_LYFO_Beh_Kemoterapiregime3","all_lyfo_mcl","ever_observed","production_aggregate_count_available","0","0%","production_aggregate_source_overlap_sql","Deduplication diagnostic only; no person keys emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"RKKP_LYFO_Beh_Kemoterapiregime2","SDS_indberetningmedpris_ATC_L01XE27","all_lyfo_mcl","ever_observed","suppressed_small_cell","<5","","production_aggregate_source_overlap_sql","Deduplication diagnostic only; no person keys emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"RKKP_LYFO_Beh_Kemoterapiregime3","SDS_indberetningmedpris_ATC_L01XE27","all_lyfo_mcl","ever_observed","production_aggregate_count_available","0","0%","production_aggregate_source_overlap_sql","Deduplication diagnostic only; no person keys emitted.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
