"database_name","search_path","verified_at","verification_mode","source_type","db_name","source_db_name","lyfo_db_name","same_db_as_lyfo","cross_db_join_required","cross_db_join_available","schema","table","patientid_column","birth_date_column","age_column","age_semantics","has_patientid","has_birth_date_like","has_age_like","has_mcl_subtype","numeric_age_plausible","candidate_score","selected","reason","usable_for_age_counts","relation_probe_attempted","relation_probe_success","relation_probe_error_sanitized","column_probe_attempted","column_probe_success","column_probe_error_sanitized","co_residency_probe_attempted","co_residency_probe_success","co_residency_probe_error_sanitized","numeric_probe_attempted","numeric_probe_success","numeric_probe_error_sanitized","deterministic_tie_break_requires_review","post_selection_execution_attempted","post_selection_execution_success","post_selection_execution_error_sanitized","notes"
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","core","core","import",FALSE,TRUE,FALSE,"public","view_diagnoses_all_distinct","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","core","core","import",FALSE,TRUE,FALSE,"public","IPI","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","core","core","import",FALSE,TRUE,FALSE,"public","t_dalycare_diagnoses_SLL_MZL_MZL","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","core","core","import",FALSE,TRUE,FALSE,"public","AE_AKI","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","core","core","import",FALSE,TRUE,FALSE,"public","comorbidity_and_ae_table","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","core","core","import",FALSE,TRUE,FALSE,"public","t_antineoplastic_treatment","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","core","core","import",FALSE,TRUE,FALSE,"public","t_dalycare_diagnoses","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","configured_patient_demographics_birth_date","core","core","import",FALSE,TRUE,FALSE,"public","patient","patientid","date_birth","","birth_date_plus_lyfo_anchor",TRUE,TRUE,FALSE,FALSE,FALSE,300,FALSE,"cross_database_join_unavailable",FALSE,TRUE,TRUE,"",TRUE,TRUE,"",FALSE,FALSE,"Cross-database join unavailable: source db_name=core and RKKP_LYFO db_name=import.",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","core","core","import",FALSE,TRUE,FALSE,"public","laboratorymeasurements","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","core","core","import",FALSE,TRUE,FALSE,"_20260113","IPI","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
