"database_name","search_path","verified_at","verification_mode","db_name","source_db_name","lyfo_db_name","same_db_as_lyfo","cross_db_join_required","cross_db_join_available","schema","table","has_patientid","has_date_birth","has_date_death_fu","candidate_score","selected","reason","usable_for_age_counts","relation_probe_attempted","relation_probe_success","relation_probe_error_sanitized","column_probe_attempted","column_probe_success","column_probe_error_sanitized","co_residency_probe_attempted","co_residency_probe_success","co_residency_probe_error_sanitized","deterministic_tie_break_requires_review","post_selection_execution_attempted","post_selection_execution_success","post_selection_execution_error_sanitized","notes"
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","core","core","import",FALSE,TRUE,FALSE,"public","t_dalycare_diagnoses_SLL_MZL_MZL",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","core","core","import",FALSE,TRUE,FALSE,"public","AE_AKI",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","core","core","import",FALSE,TRUE,FALSE,"public","comorbidity_and_ae_table",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","core","core","import",FALSE,TRUE,FALSE,"public","t_antineoplastic_treatment",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","core","core","import",FALSE,TRUE,FALSE,"public","t_dalycare_diagnoses",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","core","core","import",FALSE,TRUE,FALSE,"public","patient",TRUE,TRUE,TRUE,165,FALSE,"cross_database_join_unavailable",FALSE,TRUE,TRUE,"",TRUE,TRUE,"",FALSE,FALSE,"Cross-database join unavailable: source db_name=core and RKKP_LYFO db_name=import.",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","core","core","import",FALSE,TRUE,FALSE,"public","laboratorymeasurements",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","core","core","import",FALSE,TRUE,FALSE,"_20260113","IPI",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","core","core","import",FALSE,TRUE,FALSE,"public","t_antineoplastic_treatment_draft_20250616",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","core","core","import",FALSE,TRUE,FALSE,"curated","CLL_TREAT_VENETOCLAX_ROSKILDE",TRUE,FALSE,FALSE,0,FALSE,"missing_required_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","Candidate exists but is in a different DB from RKKP_LYFO; no executable same-SQL age join is emitted."
