"data_point_id","clinical_label","denominator","timing_scope","count_status","distinct_person_count_display","percent_of_denominator_display","denominator_count_display","count_source","person_key_confidence","timing_validation_status","source_locations","notes","query_attempted","query_executed","query_success","error_class","error_message_sanitized","count_mode","source_tables","person_key_used","date_anchor_used","value_rule_used","generated_at","validation_status"
"asct_hdt_first_line","First-line ASCT/HDT","all_lyfo_mcl","first_line_window","production_aggregate_count_available","336","23.7%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO","patientid","Beh_Stamcelleinfusion_dt","LYFO Beh_* ASCT/HDT fields","2026-05-22T20:23:15+0200","aggregate_evidence_found_requires_validation"
"asct_hdt_relapse_recurrence","Relapse/recurrence ASCT/HDT","all_lyfo_mcl","follow_up_outcome","production_aggregate_count_available","13","0.9%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO","patientid","Rec_Stamcelleinfusion_dt","LYFO Rec_* relapse/recurrence ASCT/HDT fields","2026-05-22T20:23:15+0200","aggregate_evidence_found_requires_validation"
"ibrutinib_exposure","Ibrutinib exposure","all_lyfo_mcl","first_line_window","production_aggregate_count_available","115","8.1%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","RKKP_LYFO; SDS_indberetningmedpris","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","RKKP_LYFO; SDS_indberetningmedpris","patientid","Beh_KemoterapiStart_dt","deduplicated validated Ibrutinib union: RKKP_LYFO_Beh_Kemoterapiregime1; RKKP_LYFO_Beh_Kemoterapiregime2; RKKP_LYFO_Beh_Kemoterapiregime3; SDS_indberetningmedpris_ATC_L01XE27","2026-05-22T20:23:15+0200","expanded_atc_sks_validated_with_source_failures"
"os_death","OS/death","all_lyfo_mcl","follow_up_outcome","production_aggregate_count_available","779","55%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO","patientid","FU_Doedsdato;CPR_Doedsdato","LYFO death/status fields","2026-05-22T20:23:15+0200","mapped_for_production_aggregate"
"relapse_progression_ffs_proxy","Relapse/progression/FFS proxy","all_lyfo_mcl","follow_up_outcome","production_aggregate_count_available","480","33.9%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO","patientid","Rec_RelapsProgressions_dt","LYFO relapse/progression date","2026-05-22T20:23:15+0200","mapped_for_production_aggregate"
"ki67_aeki","Ki-67 AEKI numeric pathology code","all_lyfo_mcl","ever_available","production_aggregate_count_available","37","2.6%","1,417","production_aggregate_sql","validated_mapping_config","timing_not_required","public.SDS_pato","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.SDS_pato","patientid","","SDS_pato.c_snomedkode valid AEKI000-AEKI100","2026-05-22T20:23:15+0200","aggregate_evidence_found_requires_validation"
"tp53_p53_del17p","TP53 / p53 / del17p","all_lyfo_mcl","near_diagnosis","count_not_available_requires_date_mapping","","","","not_executable_mapping_gap","requires_mapping","requires_date_mapping","","No validated value mapping for tp53_p53_del17p",FALSE,FALSE,FALSE,"","","production_aggregate","","","","","2026-05-22T20:23:15+0200","mapping_gap"
"blastoid_pleomorphic_morphology","Blastoid/pleomorphic morphology","all_lyfo_mcl","near_diagnosis","count_not_available_requires_date_mapping","","","","not_executable_mapping_gap","requires_mapping","requires_date_mapping","","No validated value mapping for blastoid_pleomorphic_morphology",FALSE,FALSE,FALSE,"","","production_aggregate","","","","","2026-05-22T20:23:15+0200","mapping_gap"
"mipi_mipic_components","MIPI / MIPI-c components","all_lyfo_mcl","near_diagnosis","production_aggregate_count_available","1,417","100%","1,417","production_aggregate_sql","validated_mapping_config","date_anchor_mapped_requires_validation","public.RKKP_LYFO","Aggregate distinct-person count; no person keys emitted.",TRUE,TRUE,TRUE,"","","production_aggregate","public.RKKP_LYFO","patientid","Reg_DiagnostiskBiopsi_dt","MIPI/MIPI-c component availability","2026-05-22T20:23:15+0200","aggregate_evidence_found_requires_validation"
"toxicity_proxies","Toxicity proxies","younger_mcl_proxy_age_le_65","follow_up_outcome","count_not_available_requires_date_mapping","","","","not_executable_mapping_gap","requires_mapping","requires_date_mapping","","No validated value mapping for toxicity_proxies",FALSE,FALSE,FALSE,"","","production_aggregate","","","","","2026-05-22T20:23:15+0200","mapping_gap"
"alive_at_landmark","Alive at landmark","younger_mcl_proxy_age_le_65","pre_landmark","count_not_available_requires_value_mapping","","","","not_executable_mapping_gap","validated_mapping_config","date_anchor_mapped_requires_validation","RKKP_LYFO; patient/death","Landmark-compatible alive status requires a dedicated first-line-date/death-date window query; ever-observed status is not used.",FALSE,FALSE,FALSE,"","","production_aggregate","RKKP_LYFO; patient/death","patientid","landmark_after_first_line_start","alive at landmark date-window","2026-05-22T20:23:15+0200","mapping_gap"
"event_free_pre_landmark","No event before landmark","younger_mcl_proxy_age_le_65","pre_landmark","count_not_available_requires_value_mapping","","","","not_executable_mapping_gap","validated_mapping_config","date_anchor_mapped_requires_validation","RKKP_LYFO","Event-free pre-landmark status requires a dedicated first-line-date/event-date window query.",FALSE,FALSE,FALSE,"","","production_aggregate","RKKP_LYFO","patientid","landmark_after_first_line_start","no event before landmark date-window","2026-05-22T20:23:15+0200","mapping_gap"
"asct_hdt_status_known_landmark","ASCT/HDT status known at/after landmark","younger_mcl_proxy_age_le_65","post_landmark","count_not_available_requires_value_mapping","","","","not_executable_mapping_gap","validated_mapping_config","date_anchor_mapped_requires_validation","RKKP_LYFO Beh_*","ASCT/HDT status at/after landmark requires a dedicated date-window query; ever-observed ASCT status is not landmark-compatible.",FALSE,FALSE,FALSE,"","","production_aggregate","RKKP_LYFO Beh_*","patientid","landmark_after_first_line_start","ASCT/HDT status at/after landmark","2026-05-22T20:23:15+0200","mapping_gap"
"ibrutinib_status_known_landmark","Ibrutinib status known at/after landmark","younger_mcl_proxy_age_le_65","post_landmark","count_not_available_requires_value_mapping","","","","not_executable_mapping_gap","validated_mapping_config","date_anchor_mapped_requires_validation","RKKP_LYFO; medication/code sources","Ibrutinib status at/after landmark requires a dedicated medication/regimen timing query; ever-observed exposure is not landmark-compatible.",FALSE,FALSE,FALSE,"","","production_aggregate","RKKP_LYFO; medication/code sources","patientid","landmark_after_first_line_start","ibrutinib status at/after landmark","2026-05-22T20:23:15+0200","mapping_gap"
"high_risk_biology_pre_landmark","High-risk biology known before landmark","younger_mcl_proxy_age_le_65","pre_landmark","count_not_available_requires_value_mapping","","","","not_executable_mapping_gap","validated_mapping_config","date_anchor_mapped_requires_validation","Ki-67; TP53; morphology; MIPI inputs","High-risk biology before landmark requires validated component timing and classifiability rules.",FALSE,FALSE,FALSE,"","","production_aggregate","Ki-67; TP53; morphology; MIPI inputs","patientid","landmark_after_first_line_start","high-risk biology classifiable before landmark","2026-05-22T20:23:15+0200","mapping_gap"
