"denominator","timing_window","distinct_person_count_display","percent_of_denominator_display","validated_primary_sources","auxiliary_sources","validation_status","count_status","notes","count_mode","source_tables","person_key_used","date_anchor_used","value_rule_used","generated_at"
"all_lyfo_mcl","ever_observed","115","8.1%","RKKP_LYFO_Beh_Kemoterapiregime1; RKKP_LYFO_Beh_Kemoterapiregime2; RKKP_LYFO_Beh_Kemoterapiregime3; SDS_indberetningmedpris_ATC_L01XE27","RKKP_CLL_Beh_TargeteretBeh_Ibrutinib; CLL_TREAT_IBRUTINIB_auxiliary","expanded_atc_sks_validated_with_source_failures","production_aggregate_count_available","Deduplicated aggregate ever-observed Ibrutinib exposure across validated primary sources; timing-specific interpretation remains unavailable until date-window validation.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
"younger_mcl_proxy_age_le_65","ever_observed","","","RKKP_LYFO_Beh_Kemoterapiregime1; RKKP_LYFO_Beh_Kemoterapiregime2; RKKP_LYFO_Beh_Kemoterapiregime3; SDS_indberetningmedpris_ATC_L01XE27","RKKP_CLL_Beh_TargeteretBeh_Ibrutinib; CLL_TREAT_IBRUTINIB_auxiliary","requires_age_specific_union_query_or_denominator","count_not_available_requires_patient_demographics_mapping","No validated executable denominator-specific Ibrutinib union count is available.","production_aggregate","","","","","2026-05-22T20:23:15+0200"
