"denominator","timing_window","distinct_person_count_display","percent_of_denominator_display","source_locations","value_rule_used","validation_status","count_status","notes","count_mode","source_tables","person_key_used","date_anchor_used","generated_at"
"all_lyfo_mcl","ever_observed","115","8.1%","RKKP_LYFO; SDS_indberetningmedpris","deduplicated validated Ibrutinib union: RKKP_LYFO_Beh_Kemoterapiregime1; RKKP_LYFO_Beh_Kemoterapiregime2; RKKP_LYFO_Beh_Kemoterapiregime3; SDS_indberetningmedpris_ATC_L01XE27","expanded_atc_sks_validated_with_source_failures","production_aggregate_count_available","Ibrutinib exposure aggregate count; timing still requires source-specific validation.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","first_line_window","","","RKKP_LYFO; SDS_indberetningmedpris","first-line-window Ibrutinib exposure predicate","requires_timing_validation","count_not_available_requires_date_mapping","First-line-window Ibrutinib requires validated medication date anchors relative to LYFO first-line treatment.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"younger_mcl_proxy_age_le_65","ever_observed","","","RKKP_LYFO; SDS_indberetningmedpris","deduplicated validated Ibrutinib union: RKKP_LYFO_Beh_Kemoterapiregime1; RKKP_LYFO_Beh_Kemoterapiregime2; RKKP_LYFO_Beh_Kemoterapiregime3; SDS_indberetningmedpris_ATC_L01XE27","requires_value_mapping","count_not_available_requires_value_mapping","No validated executable Ibrutinib exposure predicate is available; source names alone are not evidence.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"younger_mcl_proxy_age_le_65","first_line_window","","","RKKP_LYFO; SDS_indberetningmedpris","first-line-window Ibrutinib exposure predicate","requires_timing_validation","count_not_available_requires_date_mapping","First-line-window Ibrutinib requires validated medication date anchors relative to LYFO first-line treatment.","production_aggregate","","","","2026-05-22T20:23:15+0200"
