"denominator","row_data_point_id","column_data_point_id","timing_scope","count_status","distinct_person_count_display","percent_of_denominator_display","notes","count_mode","source_tables","person_key_used","date_anchor_used","value_rule_used","generated_at","validation_status"
"all_lyfo_mcl","ibrutinib_exposure","asct_hdt_first_line","ever_available","production_aggregate_count_available","14","1%","Pairwise/domain overlap for feasibility only.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_intersection_sql"
"all_lyfo_mcl","asct_hdt_first_line","os_death","ever_available","production_aggregate_count_available","128","9%","Pairwise/domain overlap for feasibility only.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_intersection_sql"
"all_lyfo_mcl","asct_hdt_first_line","relapse_progression_ffs_proxy","ever_available","production_aggregate_count_available","115","8.1%","Pairwise/domain overlap for feasibility only.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_intersection_sql"
"all_lyfo_mcl","ki67_aeki","asct_hdt_first_line","ever_available","production_aggregate_count_available","6","0.4%","Pairwise/domain overlap for feasibility only.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_intersection_sql"
"all_lyfo_mcl","ki67_aeki","os_death","ever_available","production_aggregate_count_available","21","1.5%","Pairwise/domain overlap for feasibility only.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_intersection_sql"
"all_lyfo_mcl","os_death","relapse_progression_ffs_proxy","ever_available","production_aggregate_count_available","375","26.5%","Pairwise/domain overlap for feasibility only.","production_aggregate","","","","","2026-05-22T20:23:15+0200","production_aggregate_intersection_sql"
