"source_channel","atlas_source_name","atlas_table_name","canonical_resource_id","db_name","schema","table_or_view","display_table_name","column_name","column_role","has_patientid","has_text","has_code","has_join_keys_to_pato","same_db_as_lyfo","current_profiled","current_n_rows","current_n_columns","atlas_evidence_file","evidence_state","countability_status","recommended_probe_action","notes"
"coded_pathology","SDS_pato","SDS_pato","pato","import","public","SDS_pato","PATOBANK coded pathology","c_snomedkode","pathology_snomed_code",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"","","","source_space_only_not_ki67_evidence","atlas_input_not_supplied_source_space_candidate","run_AEKI_numeric_percent_count","Configured Ki-67 source-space candidate; no atlas input was supplied for confirmation."
"pathology_free_text_embedded_in_pato","SDS_pato","SDS_pato","pato","import","public","SDS_pato","PATOBANK coded pathology free text","v_fritekst","pathology_free_text",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"","","","source_space_only_not_ki67_evidence","atlas_input_not_supplied_source_space_candidate","run_redacted_aggregate_text_pattern_count_if_approved","Configured Ki-67 source-space candidate; no atlas input was supplied for confirmation."
"microscopy_text","SDS_t_mikro_ny","SDS_t_mikro_ny","t_mikro","import","public","SDS_t_mikro_ny","PATOBANK microscopy text","v_fritekst","pathology_microscopy_text",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"","","","source_space_only_not_ki67_evidence","atlas_input_not_supplied_source_space_candidate","validate_text_to_pato_bridge_then_run_aggregate_text_pattern_count","Configured Ki-67 source-space candidate; no atlas input was supplied for confirmation."
"conclusion_text","SDS_t_konk_ny","SDS_t_konk_ny","t_konk","import","public","SDS_t_konk_ny","PATOBANK conclusion text","v_fritekst","pathology_conclusion_text",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"","","","source_space_only_not_ki67_evidence","atlas_input_not_supplied_source_space_candidate","validate_text_to_pato_bridge_then_run_aggregate_text_pattern_count","Configured Ki-67 source-space candidate; no atlas input was supplied for confirmation."
