"source_name"	"object_name"	"concept"	"hit_type"	"matched_column"	"notes"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"weight"	"column_name"	"Reg_Vaegt"	"Anthropometrics"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"height"	"column_name"	"Reg_Hoejde"	"Anthropometrics"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"multiple_myeloma"	"column_name"	"Diagnosedato"	"Disease labels / codes"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"multiple_myeloma"	"column_name"	"Reg_Diagnose"	"Disease labels / codes"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"multiple_myeloma"	"column_name"	"Reg_Diagnose_dt"	"Disease labels / codes"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"multiple_myeloma"	"column_name"	"Reg_ExtramedullaerMyelom"	"Disease labels / codes"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"multiple_myeloma"	"column_name"	"Cyto_Diagnose_dt"	"Disease labels / codes"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Reg_Knogleforandringer"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Reg_Knogleforandringer_type"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Reg_AndreKnogleundersoegelse"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Reg_Knogleundersoegelser_scinti"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Reg_Knogleundersoegelser_dexa"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Reg_Knogleundersoegelser_mri"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Reg_Knogleundersoegelser_ct"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Reg_Knogleundersoegelser_pet"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Reg_Knogleundersoegelser_other"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Reg_AndenKnogleundersoegelse"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"PB_Manifestekomp_OsteoFoci"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"SB_Manifestekomp_OsteoFoci"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"FU_Manifestekomp_OsteoFoci"	"CRAB / skeletal involvement"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"bone_involvement"	"column_name"	"Cyto_StrukturForandringer_none"	"CRAB / skeletal involvement"
