"source_name"	"column"	"n_total"	"n_numeric"	"min"	"p25"	"median"	"p75"	"max"
"RKKP_CLL"	"Org_rap"	"7884"	"5947"	"1301101"	"1516230"	"5000505"	"6620141"	"8001101"
"RKKP_CLL"	"Region"	"7884"	"7858"	"101"	"1082"	"1083"	"1084"	"1085"
"RKKP_CLL"	"Reg_Leukocyttal"	"7884"	"4010"	"-1"	"14.6"	"20.5"	"43"	"31124925"
"RKKP_CLL"	"Reg_Performancestatus"	"7884"	"7856"	"0"	"0"	"0"	"0"	"4"
"RKKP_CLL"	"Beh_Leukocyttal"	"7884"	"1508"	"-1"	"32"	"84"	"166"	"630"
"RKKP_CLL"	"Beh_TRANSPLANT"	"7884"	"1029"	"0"	"0"	"0"	"0"	"3"
"RKKP_CLL"	"Beh_PatientProtokolAarsag"	"7884"	"2229"	"12"	"14"	"99"	"99"	"99"
"RKKP_CLL"	"Rec_PatientProtokolAarsag"	"7884"	"396"	"12"	"14"	"14"	"99"	"99"
"RKKP_CLL"	"Charlson_Index"	"7884"	"7884"	"0"	"0"	"0"	"1"	"16"
