"atc_code"	"drug_name"	"disease"	"exact_rows"	"prefix_rows"	"n_patients"	"source"
"L01AA03"	"Melphalan"	"MM"	"4337"	"4337"	"1279"	"SDS_indberetningmedpris"
"L01AA01"	"Cyclophosphamide"	"MM/CLL/Lymphoma"	"39842"	"39842"	"4872"	"SDS_indberetningmedpris"
"L01DB01"	"Doxorubicin"	"MM/Lymphoma"	"18832"	"18832"	"3596"	"SDS_indberetningmedpris"
"L04AX02"	"Thalidomide"	"MM"	"1971"	"1971"	"88"	"SDS_indberetningmedpris"
"L04AX04"	"Lenalidomide"	"MM"	"126000"	"126000"	"2140"	"SDS_indberetningmedpris"
"L04AX06"	"Pomalidomide"	"MM"	"14861"	"14861"	"465"	"SDS_indberetningmedpris"
"L01XG01"	"Bortezomib"	"MM"	"24723"	"24723"	"1664"	"SDS_indberetningmedpris"
"L01XG02"	"Carfilzomib"	"MM"	"12530"	"12530"	"443"	"SDS_indberetningmedpris"
"L01XG03"	"Ixazomib"	"MM"	"314"	"314"	"32"	"SDS_indberetningmedpris"
"L01FC01"	"Daratumumab"	"MM"	"27258"	"27258"	"1523"	"SDS_indberetningmedpris"
"L01FX08"	"Elotuzumab"	"MM"	"496"	"496"	"34"	"SDS_indberetningmedpris"
"L01XH03"	"Panobinostat"	"MM"	"0"	"0"	""	"SDS_indberetningmedpris"
"L01XE27"	"Ibrutinib"	"CLL"	"3859"	"3859"	"195"	"SDS_indberetningmedpris"
"L01XX52"	"Venetoclax"	"CLL"	"23852"	"23852"	"681"	"SDS_indberetningmedpris"
"L01EM01"	"Idelalisib"	"CLL"	"3715"	"3715"	"31"	"SDS_indberetningmedpris"
"L01XC15"	"Obinutuzumab"	"CLL/Lymphoma"	"469"	"469"	"102"	"SDS_indberetningmedpris"
"L01FA01"	"Rituximab"	"CLL/Lymphoma"	"18750"	"18750"	"3574"	"SDS_indberetningmedpris"
"L01XC02"	"Rituximab (alt)"	"CLL/Lymphoma"	"16221"	"16221"	"3114"	"SDS_indberetningmedpris"
"L01CA02"	"Vincristine"	"Lymphoma"	"14978"	"14978"	"3288"	"SDS_indberetningmedpris"
"L01CB01"	"Etoposide"	"Lymphoma"	"9781"	"9781"	"1329"	"SDS_indberetningmedpris"
"L01BA01"	"Methotrexate"	"Lymphoma"	"4780"	"4780"	"1051"	"SDS_indberetningmedpris"
"L01CD01"	"Paclitaxel"	"General"	"1202"	"1202"	"146"	"SDS_indberetningmedpris"
"L03AA02"	"Filgrastim (G-CSF)"	"Supportive"	"40926"	"40926"	"3761"	"SDS_indberetningmedpris"
"J05AB01"	"Aciclovir"	"Supportive"	"586278"	"586278"	"8773"	"SDS_indberetningmedpris"
"J02AC01"	"Fluconazole"	"Supportive"	"88805"	"88805"	"6848"	"SDS_indberetningmedpris"
"J01EE01"	"Trimethoprim-sulfamethoxazole"	"Supportive"	"221501"	"221501"	"6063"	"SDS_indberetningmedpris"
"H02AB06"	"Prednisolone"	"General"	"249980"	"249980"	"16469"	"SDS_indberetningmedpris"
"H02AB09"	"Hydrocortisone"	"General"	"22220"	"22220"	"2100"	"SDS_indberetningmedpris"
"M05BA06"	"Ibandronic acid"	"MM supportive"	"157"	"157"	"28"	"SDS_indberetningmedpris"
"M05BA08"	"Zoledronic acid"	"MM supportive"	"37146"	"37146"	"4784"	"SDS_indberetningmedpris"
"H02AB02"	"Dexamethasone"	"MM"	"234416"	"234416"	"13055"	"SP_OrdineretMedicin"
"A01AC02"	"Dexamethasone (alt)"	"MM"	"0"	"0"	""	"SP_OrdineretMedicin"
"L01AA03"	"Melphalan"	"MM"	"5175"	"5175"	"1398"	"SP_OrdineretMedicin"
"L01AA01"	"Cyclophosphamide"	"MM/CLL/Lymphoma"	"39019"	"39019"	"4662"	"SP_OrdineretMedicin"
"L01DB01"	"Doxorubicin"	"MM/Lymphoma"	"26863"	"26863"	"3469"	"SP_OrdineretMedicin"
"L04AX02"	"Thalidomide"	"MM"	"990"	"990"	"123"	"SP_OrdineretMedicin"
"L04AX04"	"Lenalidomide"	"MM"	"54988"	"54988"	"2066"	"SP_OrdineretMedicin"
"L04AX06"	"Pomalidomide"	"MM"	"9100"	"9100"	"589"	"SP_OrdineretMedicin"
"L01XG01"	"Bortezomib"	"MM"	"67539"	"67539"	"2006"	"SP_OrdineretMedicin"
"L01XG02"	"Carfilzomib"	"MM"	"24541"	"24541"	"500"	"SP_OrdineretMedicin"
"L01XG03"	"Ixazomib"	"MM"	"1555"	"1555"	"130"	"SP_OrdineretMedicin"
"L01FC01"	"Daratumumab"	"MM"	"64382"	"64382"	"1510"	"SP_OrdineretMedicin"
"L01FX08"	"Elotuzumab"	"MM"	"1337"	"1337"	"55"	"SP_OrdineretMedicin"
"L01XH03"	"Panobinostat"	"MM"	"10"	"10"	"4"	"SP_OrdineretMedicin"
"L01XE27"	"Ibrutinib"	"CLL"	"0"	"0"	""	"SP_OrdineretMedicin"
"L01XX52"	"Venetoclax"	"CLL"	"11108"	"11108"	"699"	"SP_OrdineretMedicin"
"L01EM01"	"Idelalisib"	"CLL"	"262"	"262"	"36"	"SP_OrdineretMedicin"
"L01XC15"	"Obinutuzumab"	"CLL/Lymphoma"	"5"	"5"	"4"	"SP_OrdineretMedicin"
"L01FA01"	"Rituximab"	"CLL/Lymphoma"	"58564"	"58564"	"5623"	"SP_OrdineretMedicin"
"L01XC02"	"Rituximab (alt)"	"CLL/Lymphoma"	"29"	"29"	"6"	"SP_OrdineretMedicin"
"L01CA02"	"Vincristine"	"Lymphoma"	"23692"	"23692"	"3208"	"SP_OrdineretMedicin"
"L01CB01"	"Etoposide"	"Lymphoma"	"15098"	"15098"	"1302"	"SP_OrdineretMedicin"
"L01BA01"	"Methotrexate"	"Lymphoma"	"8087"	"8087"	"1128"	"SP_OrdineretMedicin"
"L01CD01"	"Paclitaxel"	"General"	"2064"	"2064"	"163"	"SP_OrdineretMedicin"
"L03AA02"	"Filgrastim (G-CSF)"	"Supportive"	"19106"	"19106"	"2283"	"SP_OrdineretMedicin"
"J05AB01"	"Aciclovir"	"Supportive"	"59328"	"59328"	"5668"	"SP_OrdineretMedicin"
"J02AC01"	"Fluconazole"	"Supportive"	"41066"	"41066"	"6204"	"SP_OrdineretMedicin"
"J01EE01"	"Trimethoprim-sulfamethoxazole"	"Supportive"	"46193"	"46193"	"6367"	"SP_OrdineretMedicin"
"H02AB06"	"Prednisolone"	"General"	"250536"	"250536"	"13001"	"SP_OrdineretMedicin"
"H02AB09"	"Hydrocortisone"	"General"	"8028"	"8028"	"1002"	"SP_OrdineretMedicin"
"M05BA06"	"Ibandronic acid"	"MM supportive"	"734"	"734"	"127"	"SP_OrdineretMedicin"
"M05BA08"	"Zoledronic acid"	"MM supportive"	"66655"	"66655"	"3460"	"SP_OrdineretMedicin"
