"key"	"value"
"generated_at"	"2026-04-11 18:42:57.662793"
"output_dir"	"/ngc/people/aletay_r/Other/DALYCARE_cartography_20260411_172541"
"bootstrap_status"	"pre_existing"
"datasets_attempted"	"64"
"datasets_loaded"	"46"
"xlsx_bundle_written"	"/ngc/people/aletay_r/Other/DALYCARE_cartography_20260411_172541/dalycare_cartography.xlsx"
"part2_note"	"Generated by Part 2 (focus tables only)"
