"requested_source"	"load_status"	"resolved_object"	"resolution_method"	"n_rows"	"n_cols"	"load_result_class"	"note"	"bootstrap_status"
"SP_Journalnotater_del1"	"not_resolved"	""	""	""	""	"NULL"	"load_dataset() returned without a directly resolvable data.frame. New .GlobalEnv objects after load: <none>. Classes: <n/a>"	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SP_Journalnotater_del2"	"not_resolved"	""	""	""	""	"NULL"	"load_dataset() returned without a directly resolvable data.frame. New .GlobalEnv objects after load: <none>. Classes: <n/a>"	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SP_OrdineretMedicin"	"loaded"	"SP_OrdineretMedicin"	"direct_get_after_safe_load"	"8699462"	"19"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SP_Behandlingsniveau"	"loaded"	"SP_Behandlingsniveau"	"direct_get_after_safe_load"	"66971"	"9"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SP_BilleddiagnostikeUndersoegelser_Del1"	"not_resolved"	""	""	""	""	"NULL"	"load_dataset() returned without a directly resolvable data.frame. New .GlobalEnv objects after load: <none>. Classes: <n/a>"	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SP_BilleddiagnostikeUndersoegelser_Del2"	"not_resolved"	""	""	""	""	"NULL"	"load_dataset() returned without a directly resolvable data.frame. New .GlobalEnv objects after load: <none>. Classes: <n/a>"	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"PERSIMUNE_microbiology_analysis"	"loaded"	"PERSIMUNE_microbiology_analysis"	"direct_get_after_safe_load"	"3596374"	"85"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"PERSIMUNE_microbiology_culture"	"loaded"	"PERSIMUNE_microbiology_culture"	"direct_get_after_safe_load"	"1336940"	"81"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"PERSIMUNE_microbiology_culture_resistance"	"loaded"	"PERSIMUNE_microbiology_culture_resistance"	"direct_get_after_safe_load"	"813817"	"36"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"PERSIMUNE_microbiology_microscopy"	"loaded"	"PERSIMUNE_microbiology_microscopy"	"direct_get_after_safe_load"	"128028"	"60"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"PERSIMUNE_biochemistry"	"loaded"	"PERSIMUNE_biochemistry"	"direct_get_after_safe_load"	"39151145"	"47"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"LAB_IGHVIMGT"	"loaded"	"LAB_IGHVIMGT"	"direct_get_after_safe_load"	"2436"	"12"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"LAB_Flowcytometry"	"loaded"	"LAB_Flowcytometry"	"direct_get_after_safe_load"	"11712"	"37"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"LAB_FISH"	"not_resolved"	""	""	""	""	"NULL"	"load_dataset() returned without a directly resolvable data.frame. New .GlobalEnv objects after load: <none>. Classes: <n/a>"	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"LAB_CLLPANEL_WIDE"	"loaded"	"LAB_CLLPANEL_WIDE"	"direct_get_after_safe_load"	"314"	"101"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"LAB_BIOBANK_SAMPLES"	"loaded"	"LAB_BIOBANK_SAMPLES"	"direct_get_after_safe_load"	"42992"	"4"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"CLL_TREAT"	"loaded"	"CLL_TREAT"	"direct_get_after_safe_load"	"595"	"95"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"MM_TREAT_DARA"	"not_resolved"	""	""	""	""	"NULL"	"load_dataset() returned without a directly resolvable data.frame. New .GlobalEnv objects after load: <none>. Classes: <n/a>"	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"CLL_TREAT_IBRUTINIB"	"loaded"	"CLL_TREAT_IBRUTINIB"	"direct_get_after_safe_load"	"195"	"106"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"DANRICHT"	"not_resolved"	""	""	""	""	"NULL"	"load_dataset() returned without a directly resolvable data.frame. New .GlobalEnv objects after load: <none>. Classes: <n/a>"	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
