"dataset"	"column"	"type"	"position"
"SP_Journalnotater_del1"	"note_id"	"integer64"	"2"
"SP_Journalnotater_del1"	"notat_type"	"character"	"3"
"SP_Journalnotater_del1"	"notat_status"	"character"	"4"
"SP_Journalnotater_del1"	"service"	"character"	"5"
"SP_Journalnotater_del1"	"forfatter_type"	"character"	"6"
"SP_Journalnotater_del1"	"notat_text"	"character"	"7"
"SP_Journalnotater_del1"	"ydelsesdato_dato_tid"	"POSIXct"	"8"
"SP_Journalnotater_del1"	"date_received"	"Date"	"9"
"SP_Journalnotater_del1"	"datetime_created"	"POSIXct"	"10"
