"npu_code"	"name"	"panel"	"n_rows"	"n_patients"	"source"
"NPU28638"	"M-component IgG kappa"	"MM/M-component"	"52551"	"4687"	"SP_AlleProvesvar"
"NPU28639"	"M-component IgG lambda"	"MM/M-component"	"25778"	"2792"	"SP_AlleProvesvar"
"NPU28925"	"M-component IgG total"	"MM/M-component"	"87"	"73"	"SP_AlleProvesvar"
"NPU19807"	"M-component (serum)"	"MM/M-component"	"2"	"3"	"SP_AlleProvesvar"
"NPU19809"	"M-component (urine)"	"MM/M-component"	"0"	""	"SP_AlleProvesvar"
"NPU28634"	"M-component IgA kappa"	"MM/M-component"	"12621"	"1024"	"SP_AlleProvesvar"
"NPU28635"	"M-component IgA lambda"	"MM/M-component"	"8235"	"796"	"SP_AlleProvesvar"
"NPU28923"	"M-component IgA total"	"MM/M-component"	"440"	"142"	"SP_AlleProvesvar"
"NPU19791"	"M-component IgM kappa"	"MM/M-component"	"1"	"2"	"SP_AlleProvesvar"
"NPU19793"	"M-component IgM lambda"	"MM/M-component"	"0"	""	"SP_AlleProvesvar"
"NPU28640"	"M-component IgD kappa"	"MM/M-component"	"20275"	"2449"	"SP_AlleProvesvar"
"NPU28641"	"M-component IgD lambda"	"MM/M-component"	"6881"	"1040"	"SP_AlleProvesvar"
"NPU28926"	"M-component IgD total"	"MM/M-component"	"178"	"105"	"SP_AlleProvesvar"
"NPU28636"	"M-component free kappa"	"MM/M-component"	"226"	"74"	"SP_AlleProvesvar"
"NPU28637"	"M-component free lambda"	"MM/M-component"	"366"	"78"	"SP_AlleProvesvar"
"NPU28924"	"M-component free total"	"MM/M-component"	"103"	"70"	"SP_AlleProvesvar"
"NPU28642"	"M-component other kappa"	"MM/M-component"	"76"	"62"	"SP_AlleProvesvar"
"NPU28643"	"M-component other lambda"	"MM/M-component"	"82"	"63"	"SP_AlleProvesvar"
"NPU28927"	"M-component other total"	"MM/M-component"	"65"	"62"	"SP_AlleProvesvar"
"NPU02593"	"Creatinine"	"Biochemistry"	"1311762"	"28706"	"SP_AlleProvesvar"
"NPU04998"	"C-reactive protein"	"Biochemistry"	"1443471"	"28786"	"SP_AlleProvesvar"
"NPU02636"	"LDH"	"Biochemistry"	"859366"	"28262"	"SP_AlleProvesvar"
"NPU01349"	"Albumin"	"Biochemistry"	"858543"	"28263"	"SP_AlleProvesvar"
"NPU01143"	"Calcium (ionised)"	"MM/Calcium"	"0"	""	"SP_AlleProvesvar"
"NPU17123"	"Calcium (total corr)"	"MM/Calcium"	"0"	""	"SP_AlleProvesvar"
"NPU04169"	"Calcium (total)"	"MM/Calcium"	"15338"	"6321"	"SP_AlleProvesvar"
"NPU03568"	"Calcium (total, common)"	"MM/Calcium"	"1224377"	"28657"	"SP_AlleProvesvar"
"NPU02840"	"Glucose"	"Biochemistry"	"858774"	"28263"	"SP_AlleProvesvar"
"NPU01933"	"Bilirubin (total)"	"CLL/Biochemistry"	"858524"	"28264"	"SP_AlleProvesvar"
"NPU02902"	"IgG"	"CLL/Immunoglobulins"	"614720"	"20095"	"SP_AlleProvesvar"
"NPU19679"	"Beta-2 microglobulin"	"MM/CLL staging"	"0"	""	"SP_AlleProvesvar"
"NPU02319"	"Haemoglobin"	"Haematology"	"1514287"	"18386"	"PERSIMUNE_biochemistry"
"NPU19748"	"Leukocytes"	"Haematology"	"1228477"	"18216"	"PERSIMUNE_biochemistry"
"NPU18016"	"Thrombocytes"	"Haematology"	"413055"	"13133"	"PERSIMUNE_biochemistry"
"NPU19651"	"Neutrophils"	"Haematology"	"850966"	"18204"	"PERSIMUNE_biochemistry"
"NPU19658"	"Monocytes"	"Haematology"	"804186"	"18151"	"PERSIMUNE_biochemistry"
"NPU02902"	"IgG"	"Immunoglobulins"	"746408"	"16823"	"PERSIMUNE_biochemistry"
