"source_name"	"object_name"	"n_rows"	"n_cols"	"id_col"	"date_col"	"descriptor_col"	"value_col"	"unit_col"	"inferred_layout"
"SDS_t_diag"	"SDS_t_diag"	"12212398"	"6"	""	"date_received"	""	""	""	"unknown"
"SDS_t_sksopr"	"SDS_t_sksopr"	"2451920"	"11"	""	"date_received"	""	""	""	"unknown"
"SDS_t_sksube"	"SDS_t_sksube"	"40459037"	"11"	""	"date_received"	""	""	""	"unknown"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"2077903"	"5"	""	"date_received"	""	""	""	"unknown"
"SDS_diagnoser"	"SDS_diagnoser"	"13850949"	"9"	""	"date_received"	""	""	""	"unknown"
"SDS_forloebsmarkoerer"	"SDS_forloebsmarkoerer"	"2314618"	"7"	""	"date_received"	""	""	""	"unknown"
"SDS_organisationer"	"SDS_organisationer"	"321870"	"57"	""	"date_received"	""	""	""	"unknown"
"SDS_resultater"	"SDS_resultater"	"7802725"	"16"	""	"date_received"	""	""	""	"unknown"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"813817"	"36"	"id"	""	""	""	""	"unknown"
