"source_name"	"column_name"	"n_total"	"n_non_missing"	"n_missing"	"pct_non_missing"	"mean"	"sd"	"min"	"p05"	"p25"	"median"	"p75"	"p95"	"max"
"LAB_Flowcytometry"	"V1"	"11712"	"11712"	"0"	"100"	"5856.5"	"3381.108"	"1"	"586.5500000000001"	"2928.75"	"5856.5"	"8784.25"	"11126.449999999999"	"11712"
"LAB_Flowcytometry"	"PC_PATOLOGISKE"	"11712"	"216"	"11496"	"1.84"	"2691.727"	"8349.76"	"0"	"14.25"	"84"	"251.5"	"1190"	"11991.25"	"89165"
