"source_name"	"object_name"	"column"	"value"	"n"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"DLBCL"	"8953"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"FL"	"4345"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"WM"	"2856"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"cHL"	"2426"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"MZL"	"2178"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"MCL"	"1417"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"SLL"	"1366"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"PTCL"	"1294"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"NHL"	"1154"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"BL"	"265"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"L-NOS"	"252"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"HD-LP"	"168"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"MF/SZ"	"110"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"LBL"	"86"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"PTLD"	"67"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"NK"	"58"
"RKKP_LYFO"	"RKKP_LYFO"	"subtype"	"PCTCL"	"44"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"1301101"	"4961"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"6620141"	"3962"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"4202560"	"3790"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"3800A20"	"3744"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"1516230"	"3106"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"8001101"	"2635"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"6008260"	"1361"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"665033L"	"956"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"5501053"	"765"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"5000505"	"541"
"RKKP_LYFO"	"RKKP_LYFO"	"Org_rap"	"3800N80"	"396"
