"code"	"description"	"disease"	"n_rows"	"n_patients"	"source"	"code_system"
"J02AC01"	"Fluconazole"	"Supportive"	"473748"	"17482"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"L03AA02"	"Filgrastim (G-CSF)"	"Supportive"	"120114"	"3761"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"NPU02593"	"Creatinine"	"Biochemistry"	"6953257"	"64362"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU04998"	"C-reactive protein"	"Biochemistry"	"5993108"	"44664"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU01349"	"Albumin"	"Biochemistry"	"5394844"	"63413"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU02840"	"Glucose"	"Biochemistry"	"4443323"	"63439"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU02636"	"LDH"	"Biochemistry"	"4402922"	"63611"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU01933"	"Bilirubin (total)"	"CLL/Biochemistry"	"4067076"	"52524"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU02902"	"IgG"	"CLL/Immunoglobulins"	"3336934"	"52609"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19748"	"Leukocytes"	"Haematology"	"8248546"	"64318"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU02319"	"Haemoglobin"	"Haematology"	"7480346"	"64419"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU18016"	"Thrombocytes"	"Haematology"	"4994471"	"55349"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19651"	"Neutrophils"	"Haematology"	"4877181"	"64717"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19658"	"Monocytes"	"Haematology"	"3793765"	"64175"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU02902"	"IgG"	"Immunoglobulins"	"3336934"	"52609"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19814"	"IgG (alt)"	"Immunoglobulins"	"1457234"	"58447"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19825"	"IgM (alt)"	"Immunoglobulins"	"1224866"	"57535"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19795"	"IgA (alt)"	"Immunoglobulins"	"1221213"	"57604"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19679"	"Beta-2 microglobulin"	"MM/CLL staging"	"767"	"88"	"SDS_lab_forsker + PERSIMUNE_biochemistry"	"NPU"
"NPU03568"	"Calcium (total, common)"	"MM/Calcium"	"6471556"	"64929"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU04169"	"Calcium (total)"	"MM/Calcium"	"457489"	"21520"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19607"	"Free kappa chains"	"MM/Light chains"	"643508"	"31891"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19606"	"Free lambda chains"	"MM/Light chains"	"642543"	"31949"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19832"	"Free kappa chains (alt)"	"MM/Light chains"	"655"	"43"	"SDS_lab_forsker + PERSIMUNE_biochemistry"	"NPU"
"NPU19831"	"Free lambda chains (alt)"	"MM/Light chains"	"71"	"41"	"SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28638"	"M-component IgG kappa"	"MM/M-component"	"320976"	"11004"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28639"	"M-component IgG lambda"	"MM/M-component"	"157027"	"6413"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28640"	"M-component IgD kappa"	"MM/M-component"	"114158"	"5113"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28634"	"M-component IgA kappa"	"MM/M-component"	"74209"	"2256"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28635"	"M-component IgA lambda"	"MM/M-component"	"49621"	"1677"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28641"	"M-component IgD lambda"	"MM/M-component"	"39682"	"2105"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19807"	"M-component (serum)"	"MM/M-component"	"12951"	"668"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19809"	"M-component (urine)"	"MM/M-component"	"5958"	"370"	"SDS_lab_forsker + PERSIMUNE_biochemistry"	"NPU"
"NPU19791"	"M-component IgM kappa"	"MM/M-component"	"3503"	"198"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU19793"	"M-component IgM lambda"	"MM/M-component"	"2114"	"120"	"SDS_lab_forsker + PERSIMUNE_biochemistry"	"NPU"
"NPU28637"	"M-component free lambda"	"MM/M-component"	"1578"	"78"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28923"	"M-component IgA total"	"MM/M-component"	"1487"	"142"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28636"	"M-component free kappa"	"MM/M-component"	"744"	"74"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28926"	"M-component IgD total"	"MM/M-component"	"546"	"105"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28924"	"M-component free total"	"MM/M-component"	"232"	"70"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28925"	"M-component IgG total"	"MM/M-component"	"231"	"73"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28643"	"M-component other lambda"	"MM/M-component"	"146"	"63"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28642"	"M-component other kappa"	"MM/M-component"	"129"	"62"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
"NPU28927"	"M-component other total"	"MM/M-component"	"87"	"62"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"NPU"
