"domain"	"n_rows"	"n_patients"	"min_date"	"max_date"	"top_units"	"min_numeric"	"p05_numeric"	"median_numeric"	"p95_numeric"	"max_numeric"
"weight"	"1010519"	"25996"	""	""	""	"0"	"51"	"76"	"109"	"600"
"height"	"419110"	"25580"	""	""	""	"5"	"155"	"172"	"188"	"263"
