"source_name"	"object_name"	"attribute_name"	"attribute_class"	"attribute_preview"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"class"	"character"	"data.frame"
"PERSIMUNE_microbiology_analysis"	"PERSIMUNE_microbiology_analysis"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"PERSIMUNE_microbiology_analysis"	"PERSIMUNE_microbiology_analysis"	"class"	"character"	"data.frame"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"class"	"character"	"data.frame"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"names"	"character"	"id | culturefindingsid | refmicroorganism | laboratoryinternalsampleid | laboratoryinternalproductionid | patternheadline"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"class"	"character"	"data.frame"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"class"	"character"	"data.frame"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"class"	"character"	"data.frame"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"LAB_IGHVIMGT"	"LAB_IGHVIMGT"	"class"	"character"	"data.frame"
"LAB_IGHVIMGT"	"LAB_IGHVIMGT"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"class"	"character"	"data.frame"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"class"	"character"	"data.frame"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"class"	"character"	"data.frame"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"CLL_TREAT"	"CLL_TREAT"	"names"	"character"	"Diag_date_CLLreg | Correct_diagdate | BIRTHDATE | opslagsdato | hospital | Date_death_CLL_reg"
"CLL_TREAT"	"CLL_TREAT"	"class"	"character"	"data.frame"
"CLL_TREAT"	"CLL_TREAT"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"CLL_TREAT_IBRUTINIB"	"CLL_TREAT_IBRUTINIB"	"names"	"character"	"birth_date | hospital | cll-reg | gender | alcohol | smoking"
"CLL_TREAT_IBRUTINIB"	"CLL_TREAT_IBRUTINIB"	"class"	"character"	"data.frame"
"CLL_TREAT_IBRUTINIB"	"CLL_TREAT_IBRUTINIB"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
