"env_index"	"object_name"	"object_class"
"1"	"MAYO_20_20_20"	"function"
"1"	"MIPI"	"function"
"1"	"missing_pkgs"	"character"
"1"	"n_patients"	"function"
"1"	"NCCN_IPI"	"function"
"1"	"NMI"	"function"
"1"	"norm_text"	"function"
"1"	"normalize_vitals_df"	"function"
"1"	"nrow_npatients"	"function"
"1"	"Osborne.Ext"	"character"
"1"	"out_dir"	"character"
"1"	"pairwise_k_sample"	"function"
"1"	"path"	"character"
"1"	"PERSIMUNE_DATASETS"	"character"
"1"	"poly_atc_candidates"	"character"
"1"	"poly_date_candidates"	"character"
"1"	"PRIMA_PI"	"function"
"1"	"print_data"	"function"
"1"	"qSOFA"	"function"
"1"	"quiet_library"	"function"
"1"	"R_ISS"	"function"
"1"	"R2_ISS"	"function"
"1"	"rct_un"	"character"
"1"	"remove_object_from_runtime_envs"	"function"
"1"	"repo_patch_scan_tbl"	"function"
"1"	"required_pkgs"	"character"
"1"	"resolve_by_variants"	"function"
"1"	"resolve_loaded_df"	"function"
"1"	"right_truncation"	"function"
"1"	"rIPSSWM"	"function"
"1"	"RKKP_DATASETS"	"character"
"1"	"rkkp_numeric_summary"	"function"
"1"	"rkkp_registry_focus"	"function"
"1"	"rows"	"list"
"1"	"runtime_catalogue"	"list"
"1"	"RW_ISS"	"function"
"1"	"rWMIPSS"	"function"
"1"	"safe_date"	"function"
"1"	"safe_distinct_n"	"function"
"1"	"safe_example_summary"	"function"
"1"	"safe_max_num"	"function"
"1"	"safe_median_num"	"function"
"1"	"safe_min_num"	"function"
"1"	"safe_quantile_num"	"function"
"1"	"scr_base_median"	"function"
"1"	"scr_low_48h"	"function"
"1"	"scr_low_7d"	"function"
"1"	"scripts"	"character"
"1"	"SDS_DATASETS"	"character"
"1"	"sks_candidates"	"character"
"1"	"slice_closest_value"	"function"
"1"	"social_alcohol_candidates"	"character"
"1"	"social_focus_tables"	"function"
"1"	"social_smoking_candidates"	"character"
"1"	"SP_DATASETS"	"character"
"1"	"standard_schema_overview"	"function"
"1"	"str_between"	"function"
"1"	"tile_pairwise_survdiff"	"function"
"1"	"transform_2_ERIC"	"function"
"1"	"truncate_time_to_event"	"function"
"1"	"TX_group"	"function"
"1"	"value_hits_tbl"	"function"
"1"	"vitals_focus_tables"	"function"
"1"	"vitals_name_candidates"	"character"
"1"	"vitals_unit_candidates"	"character"
"1"	"vitals_value_candidates"	"character"
"1"	"wommen_resolve_column"	"function"
"1"	"wommen_resolve_date_col"	"function"
"1"	"wommen_resolve_descriptor_col"	"function"
"1"	"wommen_resolve_id_col"	"function"
"1"	"wommen_resolve_unit_col"	"function"
"1"	"wommen_resolve_value_col"	"function"
"1"	"write_csv_safe"	"function"
"1"	"write_sheet_bundle"	"function"
"1"	"write_utable"	"function"
