"column"	"position"	"table"	"label"
"skskode"	"2"	"SP_BehandlingskontakterOgDiagnoser"	"Visits and diagnoses"
"dx_name"	"3"	"SP_BehandlingskontakterOgDiagnoser"	"Visits and diagnoses"
"start_date_of_diagnosis"	"4"	"SP_BehandlingskontakterOgDiagnoser"	"Visits and diagnoses"
"kontaktdato"	"5"	"SP_BehandlingskontakterOgDiagnoser"	"Visits and diagnoses"
"diagnosetype"	"6"	"SP_BehandlingskontakterOgDiagnoser"	"Visits and diagnoses"
"date_received"	"7"	"SP_BehandlingskontakterOgDiagnoser"	"Visits and diagnoses"
"datetime_created"	"8"	"SP_BehandlingskontakterOgDiagnoser"	"Visits and diagnoses"
"hospital_area_name"	"9"	"SP_BehandlingskontakterOgDiagnoser"	"Visits and diagnoses"
"region_name"	"10"	"SP_BehandlingskontakterOgDiagnoser"	"Visits and diagnoses"
