"original_filename"	"reference_filename"	"original_rows"	"curated_rows"	"removed_sensitive_rows"	"denominator_scope"	"evidence_scope"	"source_zip_filename"	"source_zip_sha256"
"cartography_part4_sds_procedure_andre_value_counts.csv"	"cartography_part4_sds_procedure_andre_value_counts.tsv"	"301"	"301"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sds_procedure_kirurgi_columns.csv"	"cartography_part4_sds_procedure_kirurgi_columns.tsv"	"16"	"16"	"0"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sds_procedure_kirurgi_value_counts.csv"	"cartography_part4_sds_procedure_kirurgi_value_counts.tsv"	"291"	"291"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sds_t_konk_columns.csv"	"cartography_part4_sds_t_konk_columns.tsv"	"7"	"7"	"0"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sds_t_konk_value_counts.csv"	"cartography_part4_sds_t_konk_value_counts.tsv"	"107"	"107"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sds_t_mikro_columns.csv"	"cartography_part4_sds_t_mikro_columns.tsv"	"7"	"7"	"0"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sds_t_mikro_value_counts.csv"	"cartography_part4_sds_t_mikro_value_counts.tsv"	"107"	"107"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_administreret_medicin_columns.csv"	"cartography_part4_sp_administreret_medicin_columns.tsv"	"15"	"14"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_administreret_medicin_value_counts.csv"	"cartography_part4_sp_administreret_medicin_value_counts.tsv"	"266"	"241"	"25"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_adt_haendelser_columns.csv"	"cartography_part4_sp_adt_haendelser_columns.tsv"	"17"	"16"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_adt_haendelser_value_counts.csv"	"cartography_part4_sp_adt_haendelser_value_counts.tsv"	"313"	"288"	"25"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_behandlingsplaner_del1_columns.csv"	"cartography_part4_sp_behandlingsplaner_del1_columns.tsv"	"17"	"16"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_behandlingsplaner_del1_value_counts.csv"	"cartography_part4_sp_behandlingsplaner_del1_value_counts.tsv"	"295"	"270"	"25"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_behandlingsplaner_del2_columns.csv"	"cartography_part4_sp_behandlingsplaner_del2_columns.tsv"	"8"	"7"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_behandlingsplaner_del2_value_counts.csv"	"cartography_part4_sp_behandlingsplaner_del2_value_counts.tsv"	"135"	"110"	"25"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_journalnotater_del1_columns.csv"	"cartography_part4_sp_journalnotater_del1_columns.tsv"	"10"	"9"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_journalnotater_del1_value_counts.csv"	"cartography_part4_sp_journalnotater_del1_value_counts.tsv"	"167"	"142"	"25"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_journalnotater_del2_columns.csv"	"cartography_part4_sp_journalnotater_del2_columns.tsv"	"5"	"5"	"0"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_sp_journalnotater_del2_value_counts.csv"	"cartography_part4_sp_journalnotater_del2_value_counts.tsv"	"55"	"55"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part4_summary.csv"	"cartography_part4_summary.tsv"	"18"	"18"	"0"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part6_resolution_log.csv"	"cartography_part6_resolution_log.tsv"	"7"	"7"	"0"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part6_sds_t_dodsaarsag_2_columns.csv"	"cartography_part6_sds_t_dodsaarsag_2_columns.tsv"	"17"	"16"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part6_sds_t_dodsaarsag_2_value_counts.csv"	"cartography_part6_sds_t_dodsaarsag_2_value_counts.tsv"	"217"	"202"	"15"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part6_sp_aktive_problemliste_columns.csv"	"cartography_part6_sp_aktive_problemliste_columns.tsv"	"6"	"5"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part6_sp_aktive_problemliste_value_counts.csv"	"cartography_part6_sp_aktive_problemliste_value_counts.tsv"	"70"	"55"	"15"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part6_sp_behandlingskontakter_columns.csv"	"cartography_part6_sp_behandlingskontakter_columns.tsv"	"10"	"9"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part6_sp_behandlingskontakter_value_counts.csv"	"cartography_part6_sp_behandlingskontakter_value_counts.tsv"	"108"	"93"	"15"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
